ssn,orgno,resourceid
13011501561,313411079,testressurs-tilgangspakke-org-dyrehold-1
13011501561,313411079,testressurs-tilgangspakke-org-godkjenning-av-utdanningsvirksomhet-1
13011501561,313411079,testressurs-tilgangspakke-org-verft-og-andre-transportmidler-1
13011501561,313411079,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
02885197917,312533944,testressurs-tilgangspakke-org-saeravgifter-1
02885197917,312533944,testressurs-tilgangspakke-org-oppforing-bygg-anlegg-1
02885197917,312533944,testressurs-tilgangspakke-org-samle-behandle-avlopsvann-1
11010450421,624651685,testressurs-tilgangspakke-org-jordbruk-1
03090312498,624991419,testressurs-tilgangspakke-org-tilskudd-stotte-erstatning-1
27033012891,610602479,testressurs-tilgangspakke-org-miljorydding-miljorensing-og-lignende-1
24061309957,624554442,testressurs-tilgangspakke-org-politi-og-domstol-1
24061309957,624554442,testressurs-tilgangspakke-org-samle-behandle-avlopsvann-1
26120760946,473245671,testressurs-tilgangspakke-org-lonn-1
18053099668,621452223,testressurs-tilgangspakke-org-finansiering-og-forsikring-1
08827298914,314239903,testressurs-tilgangspakke-org-pensjon-1
02031311724,730077254,testressurs-tilgangspakke-org-gummi-plast-og-ikkemetallholdige-mineralprodukter-1
26846799647,214283492,testressurs-tilgangspakke-org-tilskudd-stotte-erstatning-1
24886597505,312611708,testressurs-tilgangspakke-org-overnatting-1
13877196857,310101095,testressurs-tilgangspakke-org-dyrehold-1
06926697712,310101095,testressurs-tilgangspakke-org-dyrehold-1
24061415595,624785541,testressurs-tilgangspakke-org-mva-kompensasjon-revisorattesterer-1
04908298107,313299678,testressurs-tilgangspakke-org-sykefravaer-1
09846197777,310884111,testressurs-tilgangspakke-org-familievern-1
09846197777,310884111,testressurs-tilgangspakke-org-regnskap-okonomi-rapport-1
22010369200,624547748,testressurs-tilgangspakke-org-metallvarer-elektrisk-utstyr-og-maskiner-1
13887498568,214319772,testressurs-tilgangspakke-org-toll-1
18927098810,310420379,testressurs-tilgangspakke-org-sport-og-fritid-1
18826895310,310694517,testressurs-tilgangspakke-org-lagring-og-andre-tjenester-tilknyttet-transport-1
14856397441,310694517,testressurs-tilgangspakke-org-lagring-og-andre-tjenester-tilknyttet-transport-1
07908799679,314240545,testressurs-tilgangspakke-org-sykefravaer-personopplysninger-saerlig-kategori-1
13877196857,214240432,testressurs-tilgangspakke-org-revisjon-1
06926697712,214240432,testressurs-tilgangspakke-org-revisjon-1
13877196857,214240432,testressurs-tilgangspakke-org-godkjenning-av-personell-1
06926697712,214240432,testressurs-tilgangspakke-org-godkjenning-av-personell-1
20888599879,312673444,testressurs-tilgangspakke-org-servering-1
20888599879,312673444,testressurs-tilgangspakke-org-godkjenning-av-personell-1
10826696503,314318536,testressurs-tilgangspakke-org-generelle-helfotjenester-1
06091679874,625036941,testressurs-tilgangspakke-org-kommuneoverlege-1
07908799679,312284162,testressurs-tilgangspakke-org-varehandel-1
22856996909,313061043,testressurs-tilgangspakke-org-helsetjenester-personopplysninger-saerlig-kategori-1
06908898271,312773007,testressurs-tilgangspakke-org-kjop-og-salg-eiendom-1
05888597710,313575012,testressurs-tilgangspakke-org-beredskap-1
28885797727,313575012,testressurs-tilgangspakke-org-beredskap-1
27022802858,700871312,testressurs-tilgangspakke-org-skatt-naering-1
14837098573,310175633,testressurs-tilgangspakke-org-lonn-personopplysninger-saerlig-kategori-1
09855698517,310175633,testressurs-tilgangspakke-org-lonn-personopplysninger-saerlig-kategori-1
18878696774,314258223,testressurs-tilgangspakke-org-veitransport-1
05837097748,211074612,testressurs-tilgangspakke-org-lagring-og-andre-tjenester-tilknyttet-transport-1
08826996073,314244559,testressurs-tilgangspakke-org-transport-i-ror-1
08826996073,314244559,testressurs-tilgangspakke-org-jernbanetransport-1
01847297642,310517585,testressurs-tilgangspakke-org-servering-1
26894999178,310481068,testressurs-tilgangspakke-org-merverdiavgift-1
20062774208,625452538,testressurs-tilgangspakke-org-plansak-1
02896898917,624529979,testressurs-tilgangspakke-org-aksjer-og-eierforhold-1
12886399020,314254414,testressurs-tilgangspakke-org-statsforvalter-barnehage-1
29887997835,310337838,testressurs-tilgangspakke-org-utvinning-raaolje-naturgass-kull-1
29887997835,310337838,testressurs-tilgangspakke-org-skattegrunnlag-1
06824899922,314254554,testressurs-tilgangspakke-org-miljorydding-rensing-1
02875997702,616766619,testressurs-tilgangspakke-org-damp-varmtvann-1
27847097162,616766619,testressurs-tilgangspakke-org-damp-varmtvann-1
02875997702,616766619,testressurs-tilgangspakke-org-a-ordning-1
27847097162,616766619,testressurs-tilgangspakke-org-a-ordning-1
02875997702,616766619,testressurs-tilgangspakke-org-servering-1
27847097162,616766619,testressurs-tilgangspakke-org-servering-1
02875997702,616766619,testressurs-tilgangspakke-org-sjofart-1
27847097162,616766619,testressurs-tilgangspakke-org-sjofart-1
26848897956,314246365,testressurs-tilgangspakke-org-aksjer-og-eierforhold-1
04091755284,625512727,testressurs-tilgangspakke-org-gummi-plast-og-ikkemetallholdige-mineralprodukter-1
18836799301,314239628,testressurs-tilgangspakke-org-infrastruktur-1
20858898634,310901539,testressurs-tilgangspakke-org-familievern-1
20858898634,310901539,testressurs-tilgangspakke-org-kjoretoy-1
28917999149,314260589,testressurs-tilgangspakke-org-trykkerier-reproduksjon-opptak-1
11859197568,314260589,testressurs-tilgangspakke-org-trykkerier-reproduksjon-opptak-1
12050600872,625248639,testressurs-tilgangspakke-org-helsetjenester-1
12050600872,625248639,testressurs-tilgangspakke-org-forskning-1
28101253971,706961259,testressurs-tilgangspakke-org-fornoyelser-1
09906197402,312553597,testressurs-tilgangspakke-org-merverdiavgift-1
25121417432,624610458,testressurs-tilgangspakke-org-toll-1
23012925743,624610458,testressurs-tilgangspakke-org-toll-1
09867996939,314249127,testressurs-tilgangspakke-org-lagring-og-andre-tjenester-tilknyttet-transport-1
09867996939,314249127,testressurs-tilgangspakke-org-jakt-og-viltstell-1
06927198388,624521684,testressurs-tilgangspakke-org-informasjon-og-kommunikasjon-1
20816699712,314244664,testressurs-tilgangspakke-org-servering-1
08817199292,314284968,testressurs-tilgangspakke-org-motta-nabo-og-planvarsel-1
20888599879,313372448,testressurs-tilgangspakke-org-avfall-behandle-gjenvinne-1
08837397465,313436594,testressurs-tilgangspakke-org-vann-kilde-rense-distrubere-1
20905697146,314251679,testressurs-tilgangspakke-org-tekstiler-klaer-laervarer-1
11906696772,314258347,testressurs-tilgangspakke-org-politi-og-domstol-1
17051579712,624532236,testressurs-tilgangspakke-org-skattegrunnlag-1
25121417432,624570286,testressurs-tilgangspakke-org-pensjon-1
23012925743,624570286,testressurs-tilgangspakke-org-pensjon-1
12895795982,314239547,testressurs-tilgangspakke-org-politi-og-domstol-1
04888698243,314242955,testressurs-tilgangspakke-org-informasjon-og-kommunikasjon-1
25815399555,314243536,testressurs-tilgangspakke-org-pensjon-1
25815399555,314243536,testressurs-tilgangspakke-org-post-til-virksomheten-med-taushetsbelagt-innhold-1
25815399555,314243536,testressurs-tilgangspakke-org-sport-og-fritid-1
06856197164,314242335,testressurs-tilgangspakke-org-regnskap-okonomi-rapport-1
10062813569,610362982,testressurs-tilgangspakke-org-sfo-leder-1
10062813569,610362982,testressurs-tilgangspakke-org-barnevern-1
21914599994,312460173,testressurs-tilgangspakke-org-utvinning-raaolje-naturgass-kull-1
21914599994,312460173,testressurs-tilgangspakke-org-aksjer-og-eierforhold-1
12848099730,314248678,testressurs-tilgangspakke-org-transport-i-ror-1
12848099730,314248678,testressurs-tilgangspakke-org-verft-og-andre-transportmidler-1
07865998400,212779342,testressurs-tilgangspakke-org-byggesoknad-1
14112833286,701197984,testressurs-tilgangspakke-org-motta-nabo-og-planvarsel-1
26876299118,312660210,testressurs-tilgangspakke-org-mobler-og-annen-industri-1
01916497977,312660210,testressurs-tilgangspakke-org-mobler-og-annen-industri-1
26876299118,312660210,testressurs-tilgangspakke-org-elektronisk-kommunikasjon-1
01916497977,312660210,testressurs-tilgangspakke-org-elektronisk-kommunikasjon-1
23110951469,610826881,testressurs-tilgangspakke-org-jernbanetransport-1
09865996125,314252047,testressurs-tilgangspakke-org-yrkesskade-1
13818798770,314254368,testressurs-tilgangspakke-org-post-til-virksomheten-med-taushetsbelagt-innhold-1
01017500607,624539907,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
01017500364,624539907,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
10905499306,314252209,testressurs-tilgangspakke-org-toll-1
09846399477,314248708,testressurs-tilgangspakke-org-oljeraffinering-kjemisk-farmasoytisk-industri-1
07846898004,314249941,testressurs-tilgangspakke-org-veitransport-1
19827699872,312241862,testressurs-tilgangspakke-org-regnskap-okonomi-rapport-1
23050311333,616858726,testressurs-tilgangspakke-org-ulykke-1
12918797139,314242858,testressurs-tilgangspakke-org-miljorydding-rensing-1
12918797139,314242858,testressurs-tilgangspakke-org-pensjon-1
13907896972,314257057,testressurs-tilgangspakke-org-kommuneoverlege-1
09846197777,310537268,testressurs-tilgangspakke-org-mobler-og-annen-industri-1
09846197777,310537268,testressurs-tilgangspakke-org-jordbruk-1
09846197777,310537268,testressurs-tilgangspakke-org-kreditt-og-oppgjoer-1
28849798997,313837440,testressurs-tilgangspakke-org-post-til-virksomheten-med-taushetsbelagt-innhold-1
10082980623,625320933,testressurs-tilgangspakke-org-lotteri-og-spill-1
17060678154,726336695,testressurs-tilgangspakke-org-barnehageeier-1
03090312498,624646096,testressurs-tilgangspakke-org-revisorattesterer-1
14927096944,310481068,testressurs-tilgangspakke-org-reindrift-1
12825499901,310481068,testressurs-tilgangspakke-org-reindrift-1
08898297250,214242222,testressurs-tilgangspakke-org-trelast-trevarer-papirvarer-1
12846597415,314246675,testressurs-tilgangspakke-org-lufttransport-1
12846597415,314246675,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
02876599344,312870150,testressurs-tilgangspakke-org-pleie-omsorgstjenester-i-institusjon-1
04897397620,314248597,testressurs-tilgangspakke-org-rapportering-statistikk-1
18081762208,624540867,testressurs-tilgangspakke-org-offentlige-anskaffelser-1
09885699704,313326020,testressurs-tilgangspakke-org-varehandel-1
05888597710,312530422,testressurs-tilgangspakke-org-damp-varmtvann-1
28885797727,312530422,testressurs-tilgangspakke-org-damp-varmtvann-1
17856898075,214245272,testressurs-tilgangspakke-org-forskning-1
21831299484,310307548,testressurs-tilgangspakke-org-saeravgifter-1
14867499068,310242772,testressurs-tilgangspakke-org-sport-og-fritid-1
24111367325,701420926,testressurs-tilgangspakke-org-lotteri-og-spill-1
26876299118,312673444,testressurs-tilgangspakke-org-renovasjon-1
01916497977,312673444,testressurs-tilgangspakke-org-renovasjon-1
06827096065,314252616,testressurs-tilgangspakke-org-damp-varmtvann-1
14827097528,314252616,testressurs-tilgangspakke-org-damp-varmtvann-1
24021716290,621452045,testressurs-tilgangspakke-org-sfo-leder-1
08100644534,625036941,testressurs-tilgangspakke-org-hoyere-utdanning-og-hoyere-yrkesfaglig-utdanning-1
17876095041,310366862,testressurs-tilgangspakke-org-baerekraft-1
02031311724,701756118,testressurs-tilgangspakke-org-reindrift-1
26887597854,314250915,testressurs-tilgangspakke-org-skogbruk-1
16897296008,314250915,testressurs-tilgangspakke-org-skogbruk-1
09845899948,314284348,testressurs-tilgangspakke-org-miljorydding-miljorensing-og-lignende-1
06864898775,624532341,testressurs-tilgangspakke-org-kommuneoverlege-1
02885197917,314253000,testressurs-tilgangspakke-org-merverdiavgift-1
02885197917,314253000,testressurs-tilgangspakke-org-offentlige-anskaffelser-1
02885197917,314253000,testressurs-tilgangspakke-org-jordbruk-1
27071626119,701779207,testressurs-tilgangspakke-org-sikkerhet-og-internkontroll-1
17868197706,312258684,testressurs-tilgangspakke-org-sykefravaer-personopplysninger-saerlig-kategori-1
24843048931,310328529,testressurs-tilgangspakke-org-utvinning-raaolje-naturgass-kull-1
27833249512,314251814,testressurs-tilgangspakke-org-sjofart-1
22082796111,622885654,testressurs-tilgangspakke-org-yrkesskade-1
14060162590,622885654,testressurs-tilgangspakke-org-yrkesskade-1
13897496970,210585052,testressurs-tilgangspakke-org-politikk-1
02906696226,213536702,testressurs-tilgangspakke-org-ppt-leder-1
02906696226,213536702,testressurs-tilgangspakke-org-forskning-1
19100867063,624954610,testressurs-tilgangspakke-org-tinglysing-eiendom-1
28112856538,624954610,testressurs-tilgangspakke-org-tinglysing-eiendom-1
07876697410,314253426,testressurs-tilgangspakke-org-reparasjon-og-installasjon-av-maskiner-og-utstyr-1
07020270297,726624224,testressurs-tilgangspakke-org-dokumentbasert-tilsyn-1
28916299275,312677555,testressurs-tilgangspakke-org-helfo-saerlig-kategori-1
27899299464,312677555,testressurs-tilgangspakke-org-helfo-saerlig-kategori-1
28916299275,312677555,testressurs-tilgangspakke-org-helsetjenester-1
27899299464,312677555,testressurs-tilgangspakke-org-helsetjenester-1
25822849965,314253655,testressurs-tilgangspakke-org-veitransport-1
08875496191,313195899,testressurs-tilgangspakke-org-avfall-behandle-gjenvinne-1
24061309957,624601297,testressurs-tilgangspakke-org-trelast-trevarer-papirvarer-1
08856999786,311759191,testressurs-tilgangspakke-org-posttjenester-1
01924897984,313330281,testressurs-tilgangspakke-org-familievern-1
02896898917,314251482,testressurs-tilgangspakke-org-biblioteker-museer-arkiver-og-annen-kultur-1
15071748712,625361141,testressurs-tilgangspakke-org-patent-varemerke-design-1
06927198388,473245671,testressurs-tilgangspakke-org-akvakultur-1
06927198388,473245671,testressurs-tilgangspakke-org-lonn-1
07879998918,312833972,testressurs-tilgangspakke-org-posttjenester-1
17854396870,310939536,testressurs-tilgangspakke-org-naeringsmidler-drikkevarer-og-tobakk-1
28030954604,624570839,testressurs-tilgangspakke-org-yrkesskade-1
07919199681,314240979,testressurs-tilgangspakke-org-starte-drive-endre-avvikle-virksomhet-1
06868797035,313904180,testressurs-tilgangspakke-org-sykefravaer-personopplysninger-saerlig-kategori-1
17050542394,625320933,testressurs-tilgangspakke-org-kunst-og-underholdning-1
17050542394,625320933,testressurs-tilgangspakke-org-tinglysing-eiendom-1
02876599344,313466329,testressurs-tilgangspakke-org-trykkerier-reproduksjon-opptak-1
02876599344,313466329,testressurs-tilgangspakke-org-baerekraft-1
27082808154,624251326,testressurs-tilgangspakke-org-avfall-behandle-gjenvinne-1
20011306994,624251326,testressurs-tilgangspakke-org-avfall-behandle-gjenvinne-1
27082808154,624251326,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
20011306994,624251326,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
25877797514,314256735,testressurs-tilgangspakke-org-dokumentbasert-tilsyn-1
03090312498,624656962,testressurs-tilgangspakke-org-politikk-1
01082726787,625120586,testressurs-tilgangspakke-org-verft-og-andre-transportmidler-1
13081693921,624574281,testressurs-tilgangspakke-org-lufttransport-1
19092038001,624574281,testressurs-tilgangspakke-org-lufttransport-1
26848897956,314244508,testressurs-tilgangspakke-org-helsetjenester-personopplysninger-saerlig-kategori-1
04040405815,625104203,testressurs-tilgangspakke-org-sjofart-1
26072972405,625104203,testressurs-tilgangspakke-org-sjofart-1
26875299785,312409933,testressurs-tilgangspakke-org-akvakultur-1
13896498287,312409933,testressurs-tilgangspakke-org-akvakultur-1
26846799647,310335673,testressurs-tilgangspakke-org-miljorydding-rensing-1
25918598645,314251687,testressurs-tilgangspakke-org-kjoretoy-1
25918598645,314251687,testressurs-tilgangspakke-org-toll-1
13877196857,211135972,testressurs-tilgangspakke-org-helfo-saerlig-kategori-1
06926697712,211135972,testressurs-tilgangspakke-org-helfo-saerlig-kategori-1
31837797074,314280369,testressurs-tilgangspakke-org-overnatting-1
04813249583,314240561,testressurs-tilgangspakke-org-folkeregister-1
21888299936,310564699,testressurs-tilgangspakke-org-politikk-1
02110950503,701933001,testressurs-tilgangspakke-org-servering-1
13120249422,624519620,testressurs-tilgangspakke-org-lotteri-og-spill-1
12080441655,701730917,testressurs-tilgangspakke-org-servering-1
02121547301,624541847,testressurs-tilgangspakke-org-toll-1
16838399669,314241150,testressurs-tilgangspakke-org-barnevern-1
16838399669,314241150,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
06887197677,314259343,testressurs-tilgangspakke-org-lonn-1
28889099129,314259343,testressurs-tilgangspakke-org-lonn-1
09906197402,313365875,testressurs-tilgangspakke-org-kjop-og-salg-eiendom-1
19020735247,701730917,testressurs-tilgangspakke-org-teknisk-samhandling-skatt-1
06926297900,314253787,testressurs-tilgangspakke-org-metaller-og-mineraler-1
13896497655,314253787,testressurs-tilgangspakke-org-metaller-og-mineraler-1
04828199345,314255267,testressurs-tilgangspakke-org-skattegrunnlag-1
26081158508,701441346,testressurs-tilgangspakke-org-folkeregister-1
26081158508,701441346,testressurs-tilgangspakke-org-annen-tjenesteyting-1
26081158508,701441346,testressurs-tilgangspakke-org-sport-og-fritid-1
07121448755,701609603,testressurs-tilgangspakke-org-helsetjenester-1
07121448755,701609603,testressurs-tilgangspakke-org-renovasjon-1
07121448755,701609603,testressurs-tilgangspakke-org-pensjon-1
20121557348,610362982,testressurs-tilgangspakke-org-aksjer-og-eierforhold-1
22080853835,625244722,testressurs-tilgangspakke-org-mva-kompensasjon-revisorattesterer-1
23915398146,314240561,testressurs-tilgangspakke-org-sjofart-1
11868397723,214253852,testressurs-tilgangspakke-org-forskning-1
01091020447,625214203,testressurs-tilgangspakke-org-beredskap-1
13908697752,700192245,testressurs-tilgangspakke-org-biblioteker-museer-arkiver-og-annen-kultur-1
19889098727,314244540,testressurs-tilgangspakke-org-aksjer-og-eierforhold-1
15855897013,314255291,testressurs-tilgangspakke-org-finansiering-og-forsikring-1
03825698360,313723798,testressurs-tilgangspakke-org-elektrisitet-produsere-overfore-distrubere-1
28856697764,311123823,testressurs-tilgangspakke-org-saeravgifter-1
23817697666,311123823,testressurs-tilgangspakke-org-saeravgifter-1
08825699725,312947374,testressurs-tilgangspakke-org-skogbruk-1
21030902626,702802989,testressurs-tilgangspakke-org-permisjon-1
26893349544,314250869,testressurs-tilgangspakke-org-oljeraffinering-kjemisk-farmasoytisk-industri-1
07111672096,612782660,testressurs-tilgangspakke-org-ppt-leder-1
15122851300,701779207,testressurs-tilgangspakke-org-ansettelsesforhold-1
27061415926,701779207,testressurs-tilgangspakke-org-ansettelsesforhold-1
24836098788,310459275,testressurs-tilgangspakke-org-familievern-1
24836098788,310459275,testressurs-tilgangspakke-org-yrkesskade-1
05050916776,615591475,testressurs-tilgangspakke-org-motorvognavgift-1
05050916776,615591475,testressurs-tilgangspakke-org-krav-og-utlegg-1
19893349157,314240154,testressurs-tilgangspakke-org-fiske-1
29906999402,314240154,testressurs-tilgangspakke-org-fiske-1
06886897160,314240561,testressurs-tilgangspakke-org-tinglysing-eiendom-1
05927298440,314282027,testressurs-tilgangspakke-org-revisjon-1
25100136018,700191273,testressurs-tilgangspakke-org-generelle-helfotjenester-1
09926196194,313056147,testressurs-tilgangspakke-org-statsforvalter-barnehage-1
16898397193,314255313,testressurs-tilgangspakke-org-regnskap-okonomi-rapport-1
20866697257,314255313,testressurs-tilgangspakke-org-regnskap-okonomi-rapport-1
16916197970,310283207,testressurs-tilgangspakke-org-lonn-personopplysninger-saerlig-kategori-1
05904798128,310283207,testressurs-tilgangspakke-org-lonn-personopplysninger-saerlig-kategori-1
23908597117,314257421,testressurs-tilgangspakke-org-posttjenester-1
23908597117,314257421,testressurs-tilgangspakke-org-tilskudd-stotte-erstatning-1
06816694718,310608254,testressurs-tilgangspakke-org-eiendomsmegler-1
08827999653,313204413,testressurs-tilgangspakke-org-biblioteker-museer-arkiver-og-annen-kultur-1
08827999653,313204413,testressurs-tilgangspakke-org-sjofart-1
08827999653,313204413,testressurs-tilgangspakke-org-posttjenester-1
06817199729,313901491,testressurs-tilgangspakke-org-saeravgifter-1
06817199729,313901491,testressurs-tilgangspakke-org-politikk-1
12865697579,314252330,testressurs-tilgangspakke-org-folkeregister-1
02876196142,314259394,testressurs-tilgangspakke-org-beredskap-1
30874499583,214248832,testressurs-tilgangspakke-org-ppt-leder-1
10051771252,700056449,testressurs-tilgangspakke-org-tekstiler-klaer-laervarer-1
09825695742,314252659,testressurs-tilgangspakke-org-veitransport-1
09825695742,314252659,testressurs-tilgangspakke-org-folkeregister-1
03826098979,314243757,testressurs-tilgangspakke-org-sfo-leder-1
25856498770,310846198,testressurs-tilgangspakke-org-jernbanetransport-1
01017501581,616806408,testressurs-tilgangspakke-org-revisjon-1
01017502537,616806408,testressurs-tilgangspakke-org-revisjon-1
07875497965,314252233,testressurs-tilgangspakke-org-fornoyelser-1
06877196540,313969509,testressurs-tilgangspakke-org-plansak-1
11868397723,214241242,testressurs-tilgangspakke-org-beredskap-1
11868397723,214241242,testressurs-tilgangspakke-org-barnehageeier-1
15897294815,314243358,testressurs-tilgangspakke-org-skoleeier-1
15897294815,314243358,testressurs-tilgangspakke-org-sjofart-1
19121664901,624555759,testressurs-tilgangspakke-org-sjofart-1
19121664901,624555759,testressurs-tilgangspakke-org-rapportering-statistikk-1
22080268002,624573374,testressurs-tilgangspakke-org-sykefravaer-personopplysninger-saerlig-kategori-1
22080268002,624573374,testressurs-tilgangspakke-org-avfall-behandle-gjenvinne-1
22080268002,624573374,testressurs-tilgangspakke-org-sosiale-omsorgstjenester-uten-botilbud-og-flyktningemottak-1
22080268002,624573374,testressurs-tilgangspakke-org-pensjon-1
22080268002,624573374,testressurs-tilgangspakke-org-barnehageleder-1
09080765476,700244873,testressurs-tilgangspakke-org-fornoyelser-1
20091792355,625224470,testressurs-tilgangspakke-org-generelle-helfotjenester-1
03844098307,314255844,testressurs-tilgangspakke-org-naeringsmidler-drikkevarer-og-tobakk-1
05894898706,314284747,testressurs-tilgangspakke-org-merverdiavgift-1
10866797035,314253426,testressurs-tilgangspakke-org-sjofart-1
10866797035,314253426,testressurs-tilgangspakke-org-sykefravaer-1
01017500607,615570893,testressurs-tilgangspakke-org-trafikant-1
01017500364,615570893,testressurs-tilgangspakke-org-trafikant-1
01017500607,615570893,testressurs-tilgangspakke-org-baerekraft-1
01017500364,615570893,testressurs-tilgangspakke-org-baerekraft-1
20062774208,624628276,testressurs-tilgangspakke-org-infrastruktur-1
10925997531,314258940,testressurs-tilgangspakke-org-statsforvalter-skole-og-opplearing-1
11886295806,310876720,testressurs-tilgangspakke-org-permisjon-1
11886295806,310876720,testressurs-tilgangspakke-org-sikkerhet-og-internkontroll-1
27857899615,314242017,testressurs-tilgangspakke-org-lotteri-og-spill-1
27816397974,314243307,testressurs-tilgangspakke-org-reparasjon-og-installasjon-av-maskiner-og-utstyr-1
18030109801,618153398,testressurs-tilgangspakke-org-reindrift-1
23812849735,312752875,testressurs-tilgangspakke-org-ppt-leder-1
15121759990,700871312,testressurs-tilgangspakke-org-vann-kilde-rense-distrubere-1
21914599994,311815563,testressurs-tilgangspakke-org-jakt-og-viltstell-1
26916599330,314242483,testressurs-tilgangspakke-org-ulykke-1
14072792107,612569347,testressurs-tilgangspakke-org-elektronisk-kommunikasjon-1
20023055431,612569347,testressurs-tilgangspakke-org-elektronisk-kommunikasjon-1
23071364240,612569347,testressurs-tilgangspakke-org-elektronisk-kommunikasjon-1
15121132114,612569347,testressurs-tilgangspakke-org-elektronisk-kommunikasjon-1
06897298986,313175650,testressurs-tilgangspakke-org-helsetjenester-personopplysninger-saerlig-kategori-1
