orgNo,partyId,orgUuid,userId,userPartyUuid,ssn,orgType,role
312660091,51577974,0399e415-9bf8-4f8f-8887-695ae6b38f71,20055863,08f90f97-aed3-473c-946b-3c1adcf2a776,16846799676,ENK,innehaver
314153421,51681664,b07be3f6-1dd9-4558-954b-ef5280c81398,20596341,7b79e793-7fef-4d10-b980-1546096c3700,25919497001,ENK,innehaver
213764292,51279890,2d49710d-2998-465b-95d7-6d5c46f0bd38,20146429,1c31a243-ebb1-4b6f-a499-5ce285a25898,23855099756,ENK,innehaver
313219682,51617185,24e9b29f-071d-4701-8477-8c5d97ec2e9d,21038796,d8fa4532-d2c3-480e-aae7-64256c907b47,30887297858,ENK,innehaver
310191841,51328068,c711bd89-12e5-47a6-9bf6-f8f2ad966ead,20169367,21125a0e-5b3c-4845-86d3-fe678eb92e50,21847796380,ENK,innehaver
313179060,51254575,91abc876-c5e3-48c3-94a3-9c3da55ec30e,20294368,3b756aa8-7ab1-40bd-8023-bec630ebcf9e,20909199418,ENK,innehaver
312638940,51576492,a796eb94-e644-4a4e-9722-aa9bd5fbd593,20548780,716b6c12-4d63-4881-8311-a907ab3f2382,19887299768,ENK,innehaver
312549611,51570206,21821245-af49-42c8-8740-d02d1fbd3d0b,20930793,c2393a7e-08b1-425f-9e42-b7530605aa4d,25829099171,ENK,innehaver
310617776,51365908,f7849d4b-9271-4e1e-9b3f-a7a34e734109,20452228,5ceb044e-ab45-4781-a6f7-60722104389e,27877298553,ENK,innehaver
312157829,51536206,7588db19-9e4d-454a-9b92-7656ff3a6987,20559195,739dcf5b-a8fc-4ac0-baf0-43afd76b5bcc,15818997806,ENK,innehaver
210306552,51238935,31b687ed-f40e-43d5-b851-eab6bd5a542a,21185976,f8515fde-4d8b-4f8b-bd03-49a235bb762a,30868998292,ENK,innehaver
313780651,51505547,8537c40a-cede-43e3-971d-80751e9aaf5c,20741578,9a3e727b-b3e2-4027-9cd8-ea977597d0bd,02887096735,ENK,innehaver
312496372,51466052,cd0044c1-a442-4c73-932f-034a24eb47bd,20452444,5cf6f2e1-98a6-43c6-aa1d-094c7188cb34,14849297334,ENK,innehaver
310179248,51326931,488621a0-2cde-47a2-af28-31322c2ea8a0,20818740,aa9d8f01-90fa-471e-8041-c0f97cd8b846,24866098596,ENK,innehaver
210687602,51243199,5c2f2376-aa7c-4a9a-8365-bc438c5c1470,20136005,19f73ced-c2b5-4a5e-95c5-213aa87a70f7,06926498817,ENK,innehaver
312442205,51508060,3436a2d3-24d7-430f-b417-58b35808f32a,20303104,3d4c2642-b385-4b71-b21e-1565a3fa7f2a,22817797052,ENK,innehaver
313515745,51637618,cf12674f-28bb-4293-984f-49f0815130db,20521295,6b8d3aeb-af39-41a3-858f-40b2c18807eb,26927299991,ENK,innehaver
310191280,51328018,a6691f11-dd62-419a-8fca-ecbe7ee18dd9,21200840,fb7bc378-7427-4b44-81de-5c207db34ee3,12877197792,ENK,innehaver
