tossn,fromssn,partyid
09862499708,03890699900,61910514
03890698440,24897396102,62454767
15828497801,15838499055,62248395
03890699900,31928599968,62596179
03890699900,02877898884,62617232
31928599968,03890698440,61814315
03847797362,03890699900,61910514
25032679199,20877998011,62685150
11848398294,21887396881,62361346
02877898884,03890698440,61814315
31858296547,08051114400,54024375
14837195285,03887798116,62473418
30888397716,31858296547,62062917
15828497801,03887297338,62510960
03887297338,03847797362,62487945
31927996270,31928599968,62596179
03887297338,15838499055,62248395
26878497871,25032679199,59444338
05102047372,24030317587,51600819
09862499708,31927996270,62693967
21887396881,03887297338,62510960
26878497871,06867798305,61902050
02877898884,26878497871,61789514
15828497801,03847797362,62487945
29847696352,27927998306,62246847
03887798116,15828497801,61879094
14837195285,18867997179,62391151
23898099105,09862499708,63470943
09897798473,30888397716,61984546
08051114400,12858297166,63470947
18867997179,21887396881,62361346
18867997179,03887798116,62473418
15838499055,02877898884,62617232
15828497801,23898099105,62401918
03847797362,31927996270,62693967
06867798305,03890698440,61814315
18867997179,15828497801,61879094
29847696352,09897798473,61796886
12858297166,18867997179,62391151
22063296256,08888997297,63470937
14837195285,21887396881,62361346
22063296256,01091823884,56258008
26888498817,19927796794,62446940
30888397716,14847897121,61724089
11848398294,15828497801,61879094
01091823884,12858297166,63470947
03887798116,03847797362,62487945
01858297822,29847696352,62480902
01091823884,08888997297,63470937
01091823884,14837195285,62548771
21887396881,15828497801,61879094
14847897121,01091823884,56258008
26888498817,01858297822,62520719
14837195285,11848398294,62542184
21887396881,23898099105,62401918
03890699900,31927996270,62693967
27927998306,31858296547,62062917
06818098004,26888498817,63470969
15838499055,03890699900,61910514
03847797362,15838499055,62248395
08888997297,14837195285,62548771
22063296256,08051114400,54024375
12908599703,06818098004,62383303
02827695583,27927998306,62246847
12858297166,14837195285,62548771
08888997297,21887396881,62361346
08051114400,14837195285,62548771
27927998306,14847897121,61724089
19927796794,09897798473,61796886
25826394768,12908599703,61899270
12858297166,11848398294,62542184
03887297338,23898099105,62401918
31858296547,12858297166,63470947
27927998306,22063296256,61118234
28857999241,30888397716,61984546
14847897121,22063296256,61118234
31858296547,22063296256,61118234
18857596664,25826394768,63470964
21887396881,03887798116,62473418
30888397716,22063296256,61118234
19927796794,02827695583,62635749
28857999241,27927998306,62246847
03887798116,03887297338,62510960
31817295927,01858297822,62520719
14898198058,19927796794,62446940
29847696352,02827695583,62635749
22847497746,18857596664,62693407
22063296256,12858297166,63470947
12908599703,31817295927,62079097
14847897121,08051114400,54024375
29847696352,28857999241,62222580
09897798473,14847897121,61724089
09897798473,28857999241,62222580
02886899710,06818098004,62383303
18838399637,19927796794,62446940
02827695583,30888397716,61984546
07101052731,08080871156,53253968
08080871156,22847497746,62312566
08888997297,18867997179,62391151
18857596664,02886899710,61936318
29868498259,31817295927,62079097
01858297822,02827695583,62635749
26888498817,18838399637,62312224
01858297822,18838399637,62312224
27083310702,07101052731,53960043
15901897937,25826394768,63470964
13052251944,27083310702,60913790
06818098004,14898198058,61811324
31858296547,01091823884,56258008
08080871156,15901897937,63470942
18838399637,09897798473,61796886
28857999241,14847897121,61724089
31817295927,14898198058,61811324
25826394768,29868498259,62121228
14898198058,18838399637,62312224
12908599703,17898898334,62096217
18838399637,02827695583,62635749
02886899710,29868498259,62121228
31908097559,02886899710,61936318
12858297166,08888997297,63470937
22847497746,31908097559,62685865
17898898334,01858297822,62520719
18867997179,11848398294,62542184
18838399637,29847696352,62480902
26888498817,14898198058,61811324
19927796794,28857999241,62222580
14898198058,29847696352,62480902
09898596459,13052251944,54711217
26022107436,22847497746,62312566
25826394768,25877999567,61984153
17898898334,31817295927,62079097
27083310702,26022107436,50665562
31817295927,18838399637,62312224
09897798473,27927998306,62246847
18857596664,25877999567,61984153
01091823884,08051114400,54024375
17898898334,14898198058,61811324
25848096329,09898596459,62313653
12908599703,29868498259,62121228
14847897121,31858296547,62062917
29868498259,26888498817,63470969
25877999567,06818098004,62383303
24052119320,15901897937,63470942
07101052731,24052119320,54296359
22847497746,05890699121,62001082
12062719891,07101052731,53960043
29868498259,17898898334,62096217
22878095417,25848096329,61847694
25877999567,12908599703,61899270
25877999567,02886899710,61936318
02827695583,09897798473,61796886
13052251944,09100762509,52497230
31908097559,25877999567,61984153
28918597788,13052251944,54711217
05890699121,25826394768,63470964
19023201308,06873248899,63440186
31908097559,12908599703,61899270
09100762509,26022107436,50665562
02886899710,17898898334,62096217
01858297822,19927796794,62446940
18857596664,31908097559,62685865
14898198058,01858297822,62520719
07101052731,21033271759,60098119
15901897937,31908097559,62685865
08080871156,05890699121,62001082
09898596459,12062719891,50488236
10050750405,29878897348,63470984
25877999567,29868498259,62121228
05890699121,18857596664,62693407
28877698485,25848096329,61847694
24052119320,05890699121,62001082
06873248899,22878095417,61771173
25848096329,23900998201,63470973
24052119320,18857596664,62693407
21033271759,22847497746,62312566
23900998201,12062719891,50488236
15901897937,25877999567,61984153
26022107436,24052119320,54296359
03897597461,18040052301,51231680
21033271759,08080871156,53253968
05890699121,31908097559,62685865
29847597125,28918597788,62534161
26022107436,05890699121,62001082
21033271759,26022107436,50665562
06873248899,29847597125,62613963
27031885898,07101052731,53960043
17888597921,06873248899,63440186
27927998306,30888397716,61984546
29878897348,19023201308,60061576
12062719891,09100762509,52497230
21033271759,24052119320,54296359
30878598047,06890697664,63393903
07888896877,28877698485,61983517
27031885898,27083310702,60913790
27031885898,12062719891,50488236
12062719891,21033271759,60098119
06818098004,31817295927,62079097
19927796794,29847696352,62480902
27083310702,21033271759,60098119
08080871156,24052119320,54296359
13052251944,27031885898,56138836
18040052301,10050750405,54907716
09100762509,21033271759,60098119
12868398475,13052251944,54711217
29868498259,06818098004,62383303
29878897348,07888896877,63470962
09100762509,08080871156,53253968
22878095417,28918597788,62534161
12868398475,09898596459,62313653
25848096329,12868398475,61857733
30888498520,17888597921,62483887
27083310702,09100762509,52497230
27031885898,09100762509,52497230
28918597788,23900998201,63470973
19907298135,14858599440,62391987
16858499821,29878897348,63470984
09898596459,27031885898,56138836
12868398475,28918597788,62534161
25826394768,02886899710,61936318
06890697664,03897597461,62237384
28918597788,27031885898,56138836
18888397686,22878095417,61771173
23900998201,27031885898,56138836
31817295927,26888498817,63470969
18888397686,25848096329,61847694
20858496579,13857599211,61983366
18040052301,30888498520,62632863
12868398475,23900998201,63470973
06890697664,04818199940,62624383
02886899710,12908599703,61899270
29847597125,12868398475,61857733
19857598523,19023201308,60061576
22847497746,15901897937,63470942
17101526801,28838698524,62547661
19857598523,06873248899,63440186
18888397686,29847597125,62613963
14858599440,30878598047,62457454
14847798751,18040052301,51231680
28877698485,12868398475,61857733
22878095417,12868398475,61857733
14858599440,23918098097,62337230
18888397686,28877698485,61983517
15901897937,18857596664,62693407
23900998201,27083310702,60913790
09818997105,10050750405,54907716
07888896877,18888397686,62607762
19857598523,07888896877,63470962
07101052731,26022107436,50665562
09898596459,23900998201,63470973
04818199940,16858499821,61878660
19023201308,28877698485,61983517
13857599211,19907298135,61997912
31908097559,25826394768,63470964
19857598523,17888597921,62483887
28877698485,29847597125,62613963
19023201308,18888397686,62607762
09818997105,29878897348,63470984
06897494815,17022112228,50665690
06873248899,18888397686,62607762
25928195514,06890697664,63393903
13857599211,04907696303,62068167
17888597921,18888397686,62607762
26022107436,08080871156,53253968
29847597125,09898596459,62313653
17888198903,03897597461,62237384
22878095417,29847597125,62613963
09818997105,30888498520,62632863
30888498520,19857598523,62008571
13052251944,12062719891,50488236
16858499821,19857598523,62008571
24052119320,22847497746,62312566
23918098097,14847798751,61818423
10050750405,19857598523,62008571
19023201308,07888896877,63470962
17888597921,07888896877,63470962
09818997105,16858499821,61878660
17888198903,18040052301,51231680
07888896877,22878095417,61771173
02838598709,16818498563,62217729
12062719891,27083310702,60913790
25858299074,30878598047,62457454
17888198903,04818199940,62624383
03897597461,09818997105,63470985
17888198903,14847798751,61818423
25858299074,06890697664,63393903
07890699019,06897495951,61908187
04818199940,09818997105,63470985
14847798751,09818997105,63470985
10050750405,30888498520,62632863
30888498520,19023201308,60061576
16858499821,30888498520,62632863
28918597788,09898596459,62313653
04907696303,25928195514,61989277
10050750405,17888597921,62483887
25848096329,28918597788,62534161
09100762509,07101052731,53960043
25858299074,23918098097,62337230
30878598047,17888198903,62292045
29878897348,19857598523,62008571
28838698524,20858496579,62691215
10858497987,18827697822,62458773
28838698524,06927899440,62248620
06890698377,19907298135,61997912
03897597461,16858499821,61878660
27917997441,14858599440,62391987
25858299074,25928195514,61989277
14847798751,04818199940,62624383
28877698485,22878095417,61771173
06890698377,27917997441,62633906
23918098097,17888198903,62292045
19907298135,25858299074,62681257
22867197692,13857599211,61983366
04818199940,10050750405,54907716
06927899440,27917997441,62633906
30878598047,23918098097,62337230
06890698377,14858599440,62391987
18040052301,09818997105,63470985
23900998201,13052251944,54711217
17022112228,17101526801,55363998
27102137936,23907497682,62477197
17022112228,25868598657,62605416
25917899544,20858496579,62691215
30878598047,14847798751,61818423
25928195514,23918098097,62337230
23918098097,03897597461,62237384
19907298135,04907696303,62068167
20022106032,28838698524,62547661
25868598657,22867197692,62630405
17888597921,19023201308,60061576
04907696303,25858299074,62681257
25917899544,22867197692,62630405
20858496579,06890698377,62067685
25928195514,17888198903,62292045
27908599093,27838897814,62249059
18897897209,20022106032,50665615
17101526801,25917899544,62405062
27917997441,25858299074,62681257
15050901383,20022106032,50665615
29847597125,25848096329,61847694
06873248899,28877698485,61983517
27917997441,04907696303,62068167
16858499821,10050750405,54907716
06927899440,06890698377,62067685
07888896877,06873248899,63440186
29878897348,17888597921,62483887
07927698492,17877798305,61906736
22867197692,06890698377,62067685
06897494815,15050901383,53690763
14847798751,03897597461,62237384
14837295034,16040052414,51209380
22867197692,06927899440,62248620
25868598657,25917899544,62405062
05011504363,16040052414,51209380
25917899544,13857599211,61983366
20858496579,06927899440,62248620
18040052301,16858499821,61878660
30888498520,29878897348,63470984
15050901383,17101526801,55363998
19907298135,25928195514,61989277
16818498563,18897897209,62146400
02838598709,05011504363,54384507
04907696303,30878598047,62457454
06890697664,17888198903,62292045
25917899544,06927899440,62248620
16040052414,17022112228,50665690
15050901383,28838698524,62547661
03917498414,21861496772,63445621
05011504363,06897494815,62490947
18897897209,15050901383,53690763
04818199940,18040052301,51231680
06897495951,02838598709,62637027
07890699019,29857998810,62463644
06890697664,14847798751,61818423
20858496579,27917997441,62633906
29857998810,27907596422,61780102
21868297279,27907596422,61780102
05011504363,17022112228,50665690
18827697822,21868297279,62135999
06927899440,19907298135,61997912
15050901383,25868598657,62605416
27907596422,16818498563,62217729
14858599440,25858299074,62681257
10858497987,28917699862,61857127
17101526801,22867197692,62630405
29857998810,02838598709,62637027
23918098097,06890697664,63393903
14837295034,05011504363,54384507
02917899404,10828596549,63470972
28917699862,10828596549,63470972
20022106032,25868598657,62605416
20022106032,25917899544,62405062
25928195514,30878598047,62457454
27102137936,26838498867,61780243
13857599211,06890698377,62067685
25868598657,20858496579,62691215
17101526801,25868598657,62605416
05011504363,18897897209,62146400
10828596549,06897495951,61908187
23907497682,02917899404,62316321
29857998810,16818498563,62217729
06897494815,20022106032,50665615
21868297279,29857998810,62463644
28917699862,07890699019,62225327
04907696303,14858599440,62391987
16040052414,15050901383,53690763
26838498867,14908395132,62702548
12901697998,14908395132,62702548
18827697822,07890699019,62225327
14908395132,18827697822,62458773
27838897814,12901697998,63470996
16040052414,18897897209,62146400
02838598709,16040052414,51209380
28917699862,06897495951,61908187
29857998810,14837295034,61969629
14858599440,25928195514,61989277
28838698524,25917899544,62405062
27917997441,19907298135,61997912
16869497677,27817695510,61921464
18897897209,17101526801,55363998
06927899440,13857599211,61983366
02917899404,28917699862,61857127
29072164332,02122853252,50866150
06897494815,18897897209,62146400
27907596422,05011504363,54384507
02122853252,23907497682,62477197
17022112228,15050901383,53690763
17877798305,21885198632,62685104
27907596422,14837295034,61969629
23907497682,10858497987,62122454
21885198632,02122853252,50866150
12901697998,26838498867,61780243
07890699019,27907596422,61780102
27908599093,29072164332,55347453
14837295034,06897494815,62490947
14817899405,15040000299,51195387
28917699862,21868297279,62135999
25868598657,28838698524,62547661
02838598709,14837295034,61969629
10828596549,29857998810,62463644
15040000299,27838897814,62249059
21868297279,02838598709,62637027
21885198632,29072164332,55347453
09081975741,25847197105,62641288
26838498867,18827697822,62458773
22867197692,20858496579,62691215
10828596549,21868297279,62135999
07927698492,14817899405,62518709
16818498563,05011504363,54384507
21861496772,21867796522,62521576
27838897814,27102137936,50665795
26838498867,10858497987,62122454
10858497987,10828596549,63470972
21867796522,15040000299,51195387
15917896345,01828295841,63470971
26838498867,02917899404,62316321
01828295841,17877798305,61906736
07890699019,21868297279,62135999
13857599211,27917997441,62633906
21867796522,14817899405,62518709
14908395132,28917699862,61857127
03917498414,15917896345,62345671
02917899404,07890699019,62225327
14908395132,02917899404,62316321
18897897209,17022112228,50665690
17122207706,05011540564,54384660
06897495951,29857998810,62463644
22838599625,25857598981,62055744
17877798305,27908599093,63446967
25857598981,21861496772,63445621
20022106032,17101526801,55363998
29072164332,23907497682,62477197
10858497987,02917899404,62316321
27817695510,04867599865,62461537
29072164332,27102137936,50665795
04867599865,01828295841,63470971
28838698524,22867197692,62630405
16869497677,22838599625,62570404
29072164332,12901697998,63470996
04867599865,15917896345,62345671
02122853252,26838498867,61780243
27102137936,14908395132,62702548
12901697998,10858497987,62122454
21861496772,07927698492,62223077
30818898483,07847096246,63460070
27102137936,12901697998,63470996
16040052414,06897494815,62490947
07847096246,27817695510,61921464
14837295034,16818498563,62217729
18827697822,28917699862,61857127
14817899405,27908599093,63446967
14817899405,21885198632,62685104
14817899405,27838897814,62249059
17022112228,20022106032,50665615
25847197105,07857796262,62492659
07857796262,25857598981,62055744
27907596422,02838598709,62637027
05011540564,16897999505,62500834
15040000299,29072164332,55347453
23907497682,26838498867,61780243
27908599093,02122853252,50866150
21868297279,06897495951,61908187
07857796262,22838599625,62570404
15917896345,21867796522,62521576
09081975741,30818898483,63471017
21885198632,27102137936,50665795
15917896345,07927698492,62223077
16818498563,16040052414,51209380
15917896345,17877798305,61906736
16897999505,07847096246,63460070
10828596549,07890699019,62225327
22838599625,04867599865,62461537
21867796522,27908599093,63446967
17122207706,25050004514,51380856
02917899404,18827697822,62458773
02122853252,12901697998,63470996
29907598088,17867797521,62635960
07927698492,15040000299,51195387
27838897814,29072164332,55347453
16897999505,30818898483,63471017
01828295841,14817899405,62518709
17867797521,30103184343,59986609
22838599625,03917498414,61884254
06897495951,27907596422,61780102
22838599625,21861496772,63445621
14908395132,10858497987,62122454
27908599093,21885198632,62685104
28061110692,25847197105,62641288
27817695510,03917498414,61884254
29907598088,21897398106,62061346
30818898483,07857796262,62492659
25050004514,28061110692,53342573
04867599865,07927698492,62223077
12901697998,23907497682,62477197
30103184343,28061110692,53342573
27847896820,06030776427,54182611
07927698492,21867796522,62521576
18827697822,10828596549,63470972
15040000299,21885198632,62685104
30818898483,27817695510,61921464
02122853252,27102137936,50665795
12827997860,05011540564,54384660
30103184343,25050004514,51380856
30818898483,16869497677,63445602
18887698828,27847896820,61930336
17877798305,14817899405,62518709
03917498414,01828295841,63470971
25857598981,15917896345,62345671
25847197105,16869497677,63445602
23907497682,14908395132,62702548
06030776427,21897398106,62061346
15040000299,27908599093,63446967
25050004514,09081975741,56247586
01828295841,21867796522,62521576
30877699176,17867797521,62635960
06030776427,12827997860,62060485
21897398106,12827997860,62060485
08878198558,01907698498,61954766
01907698498,22827498983,61781806
05011540564,09081975741,56247586
22827498983,08907995861,62045352
27838897814,02122853252,50866150
04867297478,27847896820,61930336
08080852933,11122524541,59310782
01828295841,07927698492,62223077
21897398106,17122207706,55549690
17867797521,17122207706,55549690
17877798305,15040000299,51195387
25857598981,04867599865,62461537
11122524541,14848796426,63470725
08907995861,30877699176,61988205
22827498983,30877699176,61988205
27818397254,01907698498,61954766
14848796426,02917996701,62296270
16887698779,19867797842,61779345
25857598981,03917498414,61884254
21861496772,01828295841,63470971
26928399507,11122524541,59310782
27847896820,29907598088,62602897
08907995861,29907598088,62602897
21861496772,15917896345,62345671
25050004514,16897999505,62500834
07847096246,07857796262,62492659
07857796262,03917498414,61884254
16869497677,25857598981,62055744
08867396218,27817998963,62646478
14848796426,04867297478,62404371
18887698828,08907995861,62045352
19867797842,24917196512,62010696
02917996701,04867297478,62404371
03917498414,04867599865,62461537
07847096246,22838599625,62570404
21885198632,27838897814,62249059
24917196512,18865997627,62591346
01907698498,18887698828,62674637
27817695510,25857598981,62055744
02917996701,18887698828,62674637
23897396688,19867797842,61779345
08878198558,02917996701,62296270
28061110692,30818898483,63471017
18865997627,27818397254,62105249
27817998963,07929395772,63463820
27817695510,22838599625,62570404
16869497677,07857796262,62492659
16897999505,16869497677,63445602
09081975741,07847096246,63460070
28061110692,09081975741,56247586
21897398106,05011540564,54384660
28061110692,16897999505,62500834
21867796522,17877798305,61906736
07929395772,30011228638,53429047
30897596179,04819596048,63471021
24917196512,27818397254,62105249
18865997627,08878198558,62650606
17122207706,28061110692,53342573
12827997860,17122207706,55549690
11122524541,08878198558,62650606
25847197105,07847096246,63460070
30103184343,09081975741,56247586
08907995861,17867797521,62635960
09081975741,16897999505,62500834
08855696305,29837197080,61957884
12827997860,30103184343,59986609
04867599865,21861496772,63445621
11868097851,09837997914,62452380
02917996701,27847896820,61930336
30877699176,29907598088,62602897
21897398106,30103184343,59986609
30877699176,06030776427,54182611
10890698757,20817398228,62117726
07929395772,26928399507,62148743
30011228638,08080852933,53253787
29907598088,12827997860,62060485
05011540564,28061110692,53342573
07857796262,27817695510,61921464
08080852933,18865997627,62591346
06030776427,17122207706,55549690
10092493224,53855001175,63471026
30011228638,26928399507,62148743
09907597161,27817998963,62646478
12827997860,25050004514,51380856
25847197105,30818898483,63471017
04867297478,18887698828,62674637
29837197080,16887698779,62126491
08855696305,23897396688,62536629
17122207706,30103184343,59986609
19867797842,08080852933,53253787
04819596048,08855696305,62434828
04867297478,22827498983,61781806
18865997627,01907698498,61954766
17867797521,12827997860,62060485
08907995861,06030776427,54182611
30909697472,06827197899,62103831
16897999505,25847197105,62641288
18887698828,30877699176,61988205
16887698779,30011228638,53429047
22827498983,29907598088,62602897
29907598088,06030776427,54182611
29837396814,31012318068,52713041
05011540564,25050004514,51380856
09837997914,10890698757,62634904
27818397254,14848796426,63470725
30011228638,11122524541,59310782
30877699176,21897398106,62061346
27847896820,30877699176,61988205
19897999512,04819596048,63471021
29837197080,23897396688,62536629
08867396218,29837197080,61957884
08878198558,04867297478,62404371
01052865057,11867397290,62142922
02917996701,22827498983,61781806
30897596179,20817398228,62117726
18865997627,14848796426,63470725
29837197080,19867797842,61779345
30103184343,05011540564,54384660
01907698498,04867297478,62404371
28868198690,09837997914,62452380
17867797521,21897398106,62061346
04867297478,08907995861,62045352
26928399507,24917196512,62010696
18887698828,22827498983,61781806
14848796426,18887698828,62674637
53855001175,30909697472,63463821
20817398228,27817998963,62646478
10890698757,09907597161,62650511
20817398228,08867396218,62549297
08080852933,27818397254,62105249
15907196167,09887398914,62668684
27818397254,08878198558,62650606
26082754600,15050904420,53690798
27817998963,16887698779,62126491
27082201322,53855001175,63471026
30011228638,24917196512,62010696
11868097851,06827197899,62103831
27847896820,08907995861,62045352
06030776427,17867797521,62635960
08878198558,14848796426,63470725
24917196512,08878198558,62650606
06827197899,19897999512,62672588
31012318068,01052865057,50279157
04819596048,08867396218,62549297
06827197899,30897596179,61846169
22867899891,31012318068,52713041
30909697472,19897999512,62672588
06827197899,04819596048,63471021
27818397254,02917996701,62296270
02867998562,07818198498,61765725
29837197080,07929395772,63463820
10092493224,11867397290,62142922
16887698779,26928399507,62148743
26033253558,12848499542,61716136
09887398914,26082754600,50353504
01907698498,02917996701,62296270
22827498983,27847896820,61930336
01052865057,28868198690,62218330
08877698867,09887398914,62668684
08080852933,24917196512,62010696
14848796426,01907698498,61954766
10867198356,04827498829,62684160
26928399507,18865997627,62591346
11122524541,27818397254,62105249
07818198498,26033253558,60101595
20817398228,08855696305,62434828
31877899066,20877698301,62503707
08867396218,23897396688,62536629
11122524541,18865997627,62591346
09837997914,30897596179,61846169
30897596179,09907597161,62650511
23897396688,07929395772,63463820
11867397290,09837997914,62452380
26082754600,27082201322,56138930
24917196512,11122524541,59310782
21918298808,07818198498,61765725
11868097851,19897999512,62672588
11867397290,28868198690,62218330
19867797842,30011228638,53429047
20837798877,09890697329,63470689
20877698301,10867198356,61795362
06827197899,10890698757,62634904
07929395772,08080852933,53253787
26928399507,08080852933,53253787
11867397290,11868097851,63445699
07929395772,19867797842,61779345
53855001175,11868097851,63445699
26033253558,22867899891,62084409
23897396688,30011228638,53429047
29837396814,15050904420,53690798
09907597161,08855696305,62434828
10092493224,28868198690,62218330
04867998611,20837798877,62420917
12828198635,20877698301,62503707
15897397983,04867998611,61808306
19867797842,26928399507,62148743
16887698779,07929395772,63463820
27817998963,29837197080,61957884
15050904420,27082201322,56138930
05878598271,31837198529,62094735
08855696305,27817998963,62646478
11867397290,30909697472,63463821
31012318068,10092493224,56247716
23897396688,16887698779,62126491
08867396218,08855696305,62434828
15050904420,10092493224,56247716
08855696305,16887698779,62126491
15050904420,53855001175,63471026
19897999512,10890698757,62634904
09907597161,29837197080,61957884
15907196167,12848499542,61716136
10867198356,08877698867,61770863
27092285508,22891798079,63471028
10890698757,04819596048,63471021
04819596048,20817398228,62117726
25887698468,05878598271,62535341
27817998963,23897396688,62536629
30897596179,10890698757,62634904
08818797800,04867998611,61808306
10890698757,08867396218,62549297
15050904420,01052865057,50279157
09907597161,08867396218,62549297
20837798877,21918298808,62674137
12848499542,29837396814,62601867
23867399321,25887698468,62003739
28830598911,27092285508,51216745
11868097851,30909697472,63463821
04819596048,09907597161,62650511
30909697472,30897596179,61846169
05878598271,12828198635,62415002
19897999512,30897596179,61846169
04827498829,09887398914,62668684
09837997914,19897999512,62672588
09837997914,06827197899,62103831
10092493224,01052865057,50279157
16876898601,28830598911,61875189
14897799171,01899398382,61860627
01052865057,11868097851,63445699
12848499542,22867899891,62084409
09890697329,07818198498,61765725
29837396814,27082201322,56138930
09887398914,29837396814,62601867
09890697329,02867998562,61815901
53855001175,28868198690,62218330
27092285508,08818797800,63471029
30909697472,09837997914,62452380
28868198690,11868097851,63445699
53855001175,11867397290,62142922
01899398382,18887397658,62229634
31837198529,20877698301,62503707
02867998562,04827498829,62684160
28868198690,30909697472,63463821
19897999512,20817398228,62117726
12888298868,14897799171,61776305
15907196167,22867899891,62084409
07818198498,15907196167,61735261
29837396814,26082754600,50353504
26082754600,10092493224,56247716
12848499542,26082754600,50353504
31012318068,15050904420,53690798
04827498829,08877698867,61770863
18927798847,25887698468,62003739
31837198529,31877899066,62347585
01052865057,53855001175,63471026
01899398382,18927798847,62398184
22891798079,04867998611,61808306
31877899066,09890697329,63470689
27082201322,10092493224,56247716
06828599206,22857697778,62312752
31012318068,27082201322,56138930
27082201322,01052865057,50279157
03907397962,28830598911,61875189
02867998562,08877698867,61770863
06828599206,03907397962,62653986
01897698702,06828599206,62224364
28868198690,06827197899,62103831
15897397983,31837198529,62094735
22867899891,29837396814,62601867
20877698301,02867998562,61815901
08905397215,01897698702,61911822
14887899879,27858598473,62124321
26033253558,29837396814,62601867
09887398914,12848499542,61716136
03868098138,14887899879,62088880
26082754600,31012318068,52713041
09890697329,21918298808,62674137
18887397658,25887698468,62003739
08877698867,15907196167,61735261
07848299272,14905797213,61801720
16100958655,03868098138,62694585
04867998611,31877899066,62347585
26033253558,09887398914,62668684
23867399321,22891798079,63471028
07818198498,04827498829,62684160
21918298808,02867998562,61815901
16100970485,07848299272,61934685
22857697778,28830598911,61875189
27082201322,11867397290,62142922
31837198529,12828198635,62415002
10867198356,15907196167,61735261
22891798079,15897397983,61849364
17819297029,16100970485,53387190
09927598016,01112926646,50711045
25887698468,15897397983,61849364
10867198356,07818198498,61765725
12828198635,31877899066,62347585
